Year,County,IncomeClass,Disclosure,ReturnCount,TotalIncome,TotalDeductions,TotalExemptions,TotalTaxableIncome,TotalTaxBeforeCredits,TotalTaxLiability,Place of Residence Sort Order,Income Class Sort Order
2006, Albany ,"Under 5,000",,19561,40344,37882,0,2462,99,-1242,7,1
2004, Livingston ,"200,000 and over",,162,63013,3637,177,59199,4444,4123,30,11
2004, NYS Unclassified + ,"50,000 - 59,999",,74,4042,1067,45,2929,158,153,65,7
2008, Otsego ,"75,000 - 99,999",,1712,147501,27710,1637,118154,6833,6259,42,9
2006, Genesee ,"40,000 - 49,999",,2140,96078,27470,1800,66808,3346,2832,24,6
2007, Albany ,"100,000 - 199,999",,13479,1774291,273850,15173,1485273,97100,93468,7,10
2007, Lewis ,"30,000 - 39,999",,1181,41197,13952,927,26319,1256,854,29,5
2007, Chenango ,"30,000 - 39,999",,2288,79792,26109,1540,52143,2526,1890,14,5
2009,Warren,"75,000 - 99,999",,2216,191265,37575,2115,151575,8769,8152,58,9
2006,"Grand Total, Full-Year Resident","100,000 - 199,999",,704317,94241800,16256674,746177,77238850,5075047,4815069,67,10
2001, Suffolk ,Total,,651624,37966618,8074096,402411,29490059,1802317,1733834,53,12
1999, St. Lawrence ,"100,000 - 199,999",,998,124536,15097,1248,108192,6973,6877,46,10
2010,Chemung,"10,000 - 19,999",,6342,93662,59509,2563,31589,1284,-1611,13,3
2001, Rockland ,"Under 5,000",,17461,35125,32540,1,2585,103,-111,45,1
2010,Chautauqua,"75,000 - 99,999",,3411,293643,53635,3459,236549,13653,12097,12,9
2005, Yates ,"200,000 and over",,73,28731,1685,53,26993,2010,1936,63,11
1999, Columbia ,"40,000 - 49,999",,2075,93132,24713,1762,66657,3317,3097,16,6
2000, Delaware ,"40,000 - 49,999",,1411,63340,17049,1326,44965,2195,2089,18,6
2003, Ulster ,"20,000 - 29,999",,9899,245762,102881,5507,137373,6145,4453,57,4
2007, Nassau ,"60,000 - 74,999",,44869,3017774,866375,31716,2119683,119797,111328,34,8
2008, Fulton ,"75,000 - 99,999",,1442,123939,22764,1371,99804,5770,5402,23,9
2012,Tioga,"60,000 - 74,999",,1526,102207,21651,1322,79234,4266,3470,55,8
2010,Jefferson,"30,000 - 39,999",,4029,140154,46551,2886,90717,4369,3048,28,5
2006, Allegany ,"60,000 - 74,999",,1245,83241,18510,1387,63343,3420,2961,8,8
1999, Broome ,"40,000 - 49,999",,6248,279795,72712,5359,201725,10051,9900,9,6
2006, Sullivan ,"75,000 - 99,999",,2223,191436,40693,2350,148392,8576,7807,54,9
2012,Orleans,"40,000 - 49,999",,1425,63889,17011,1032,45846,2314,1906,40,6
2001, Ulster ,"Under 5,000",,11592,24787,23370,0,1416,57,-249,57,1
2009,Sullivan,"75,000 - 99,999",,2373,205577,43596,2242,159739,9297,8536,54,9
2001,"Grand Total, Full-Year Resident","20,000 - 29,999",,1052949,26166421,10864625,703090,14598671,647554,484510,67,4
2006, Dutchess ,"10,000 - 19,999",,15278,226357,140229,4120,82008,3354,-1124,19,3
2011,Rensselaer,"250,000 - 499,999",,500,162604,12263,533,149808,10962,10081,44,12
2011,Cayuga,"10,000 - 19,999",,5316,79000,49003,2037,27960,1139,-1233,11,3
2006, Schenectady ,"200,000 and over",,1176,547291,31874,1288,514129,35218,33664,48,11
2012,Herkimer,"5,000 - 9,999",,2493,18565,15845,47,2672,107,-443,27,2
2007, Genesee ,"75,000 - 99,999",,2111,182001,34168,2455,145378,8352,7593,24,9
2011,Sullivan,"200,000 - 249,999",,174,38380,4477,166,33737,2314,2064,54,11
2003, Cayuga ,"10,000 - 19,999",,5660,83966,53491,2228,28247,1149,-706,11,3
2005, Saratoga ,"60,000 - 74,999",,7661,515755,113218,7225,395312,21799,21371,47,8
2004, Herkimer ,"60,000 - 74,999",,1729,115243,25277,1897,88069,4739,4568,27,8
2006, Saratoga ,"200,000 and over",,2421,1100836,65363,2869,1032616,70734,67484,47,11
2012,Madison,"200,000 - 249,999",,209,46724,4962,244,41518,2763,2568,31,11
2012,Wyoming,"500,000 and over",,27,28298,566,21,27711,2111,1998,62,13
2012,Chautauqua,"75,000 - 99,999",,3537,304995,54287,3398,247310,13866,12161,12,9
2000, Chemung ,"20,000 - 29,999",,4963,122906,49380,3005,70522,3126,2580,13,4
2002, Cattaraugus ,"5,000 - 9,999",,3936,29086,25131,64,3890,156,-488,10,2
2007, Seneca ,"250,000 - 499,999",,41,13892,784,39,13069,895,808,51,12
1999, Greene ,"200,000 and over",,133,62012,3094,108,58810,4028,3786,25,11
2001, Oneida ,"20,000 - 29,999",,13984,346327,139160,8185,198982,8849,7229,36,4
2003, Chemung ,"200,000 and over",,369,126332,9032,445,116855,8821,8063,13,11
2008, Niagara ,"200,000 - 249,999",,368,81814,8196,431,73187,5013,4881,35,11
2012,Rensselaer,"40,000 - 49,999",,5591,250544,63177,2794,184573,9605,8526,44,6
2001, Schenectady ,"100,000 - 199,999",,3892,499818,67709,4371,427738,27800,27553,48,10
2011,Residence Unknown ++,"30,000 - 39,999",,479,16657,5401,487,10769,534,298,66,5
2010,Ontario,"Under 5,000",,7728,-11573,12715,0,828,33,-695,38,1
2007, Schoharie ,"30,000 - 39,999",,1413,49006,16369,799,31839,1542,1226,49,5
2001, Jefferson ,"10,000 - 19,999",,7595,112058,71920,3354,36784,1493,-418,28,3
2002, Wyoming ,"10,000 - 19,999",,2869,42269,26638,870,14762,601,-85,62,3
2009,Suffolk,Total,,693372,46736645,10323721,419946,36724693,2506803,2313717,53,14
2010,New York City - Kings,"500,000 and over",,4029,5814436,213175,5993,5595268,500422,445542,2,13
2003, Ulster ,"40,000 - 49,999",,5988,268258,74676,4329,189253,9693,9372,57,6
2000, Ulster ,"75,000 - 99,999",,4933,423491,73287,5414,344790,19981,19688,57,9
2007, Franklin ,Total,,19757,699909,195432,10377,494100,27686,21551,22,14
2003, NYS Unclassified + ,"60,000 - 74,999",,158,10523,2045,121,8358,478,464,65,8
2003, New York City - Manhattan ,"75,000 - 99,999",,47248,4074775,659881,14191,3400704,208858,202052,3,9
2005, Franklin ,"20,000 - 29,999",,2667,66119,28690,1910,35496,1570,815,22,4
2003, Schuyler ,"75,000 - 99,999",,394,33739,6213,407,27119,1553,1497,50,9
2003, Jefferson ,"5,000 - 9,999",,4670,34659,29991,113,4555,182,-735,28,2
2006, Montgomery ,"10,000 - 19,999",,3952,58817,37306,1697,19814,806,-927,33,3
2001, Dutchess ,"30,000 - 39,999",,11226,390898,120545,6428,263925,12997,12390,19,5
2010,New York City - Richmond,"60,000 - 74,999",,14947,1007011,233414,11574,762023,43460,39389,5,8
2002, Niagara ,"Under 5,000",,16542,33760,31889,0,1871,75,-558,35,1
2010,Jefferson,"10,000 - 19,999",,7316,107910,68679,2880,36351,1479,-1847,28,3
2001, Monroe ,"20,000 - 29,999",,41895,1037685,406349,22088,609241,27351,22574,32,4
2009,Monroe,"5,000 - 9,999",,32131,237871,198734,875,38262,1531,-5587,32,2
2008, Genesee ,"100,000 - 199,999",,1610,202132,28770,1952,171411,11061,10361,24,10
2012,Westchester,"500,000 and over",,16943,34216894,734826,26973,33455096,2720132,2508458,61,13
2001, Cayuga ,"20,000 - 29,999",,4646,115181,46874,2898,65409,2904,2253,11,4
2004, Yates ,Total,,10031,324272,98915,6104,219253,12131,9858,63,12
2010,NYS Unclassified +,"200,000 - 249,999",d/,,,,,,,,65,11
2007, Jefferson ,"200,000 - 249,999",,147,32609,3598,165,28846,1976,1886,28,11
2000, Westchester ,"60,000 - 74,999",,27334,1833754,406866,19943,1406946,79827,76462,61,8
2007, Cortland ,"250,000 - 499,999",,90,29559,2110,104,27345,1873,1634,17,12
2010,New York City - Queens,"100,000 - 199,999",,66091,8716738,1331313,65560,7319866,481136,463451,4,10
2003, Suffolk ,Total,,661791,39006264,8696573,413222,29896561,1912451,1817031,53,12
1999, Chautauqua ,"Under 5,000",,9281,22089,20884,0,1227,49,-323,12,1
2000, Ontario ,Total,,45379,1876015,447312,25877,1402826,80461,76442,38,12
2011,Saratoga,"75,000 - 99,999",,9722,843902,161344,8982,673576,39322,36820,47,9
2010,Residence Unknown ++,"60,000 - 74,999",,346,23158,4894,200,18064,1050,931,66,8
2004, Broome ,"60,000 - 74,999",,5180,347182,74458,5317,267407,14590,14137,9,8
2006, Orleans ,"100,000 - 199,999",,700,86967,12454,849,73663,4743,4545,40,10
2007, Ulster ,Total,,81854,4056316,965342,40263,3050705,183346,162124,57,14
2007, Herkimer ,"30,000 - 39,999",,2978,103361,33412,1929,68020,3305,2643,27,5
2007, Rensselaer ,"60,000 - 74,999",,5184,348722,76925,4048,267751,14910,13499,44,8
2004, Chautauqua ,"200,000 and over",,322,133578,8450,394,124733,9375,8615,12,11
2011,Suffolk,"250,000 - 499,999",,14362,4761256,454037,19011,4288208,314864,305607,53,12
2005, Otsego ,"200,000 and over",,330,194563,9506,339,184718,13906,11416,42,11
2009,Yates,"250,000 - 499,999",,36,12543,1258,19,11266,839,806,63,12
1999, Warren ,"60,000 - 74,999",,1668,111431,22399,1810,87222,4744,4709,58,8
2000, Chautauqua ,Total,,56610,1769364,517760,31089,1220515,66245,58248,12,12
2007, Cattaraugus ,"60,000 - 74,999",,2305,154450,34357,2228,117866,6393,5470,10,8
2003, Hamilton ,"40,000 - 49,999",,194,8709,2725,139,5845,279,270,26,6
2007, Ulster ,"75,000 - 99,999",,6809,588440,125489,6583,456369,26426,24494,57,9
2008, Cortland ,"20,000 - 29,999",,2723,67235,27992,1556,37686,1684,588,17,4
2012,Montgomery,"250,000 - 499,999",,57,18369,1213,45,17111,1153,1030,33,12
2009,Hamilton,"100,000 - 199,999",,87,11139,1534,78,9527,619,566,26,10
2010,Chemung,"5,000 - 9,999",,3994,29709,25650,95,3964,159,-769,13,2
1999,"Grand Total, Full-Year Resident",Total,,7773997,399550076,81600700,4321235,313628683,19136664,17944165,67,12
2004, Washington ,"100,000 - 199,999",,801,100195,14034,920,85237,5532,5108,59,10
2012,Fulton,"75,000 - 99,999",,1505,129594,23808,1414,104372,5857,5499,23,9
2008, Wayne ,"60,000 - 74,999",,3212,215390,48185,3051,164154,8954,8074,60,8
2002, Erie ,"40,000 - 49,999",,29489,1322219,351807,23253,947159,48212,47119,20,6
2011,Chemung,"250,000 - 499,999",,346,119597,8618,396,110583,8236,7620,13,12
2006, Chenango ,Total,,21606,748358,216274,11928,520157,28825,22310,14,12
2010,Ulster,Total,,81130,3857431,936032,40208,2946148,183679,161192,57,14
2010,Saratoga,"200,000 - 249,999",,1195,265263,29112,1471,234680,16083,15536,47,11
2011,Tioga,"10,000 - 19,999",,3530,52610,33287,1185,18138,738,-742,55,3
2005, Onondaga ,"100,000 - 199,999",,14880,1928806,288937,18946,1620898,106101,101669,37,10
1999, New York City - Manhattan ,"20,000 - 29,999",,90957,2265213,875833,55106,1334273,60038,48786,3,4
2009,Jefferson,"60,000 - 74,999",,2697,180695,39097,2418,139180,7651,6980,28,8
2012,Delaware,"50,000 - 59,999",,1109,60606,14771,857,44979,2338,2051,18,7
2006, Ulster ,"40,000 - 49,999",,5891,263995,76716,3719,183560,9519,8424,57,6
2011,Cayuga,"200,000 - 249,999",,134,29665,2867,132,26666,1828,1591,11,11
2002, New York City - Bronx ,"5,000 - 9,999",,68618,520473,492931,2185,25357,1015,-26052,1,2
2007, Saratoga ,"200,000 - 249,999",,1029,228324,24708,1261,202354,13861,13354,47,11
2001, Herkimer ,"30,000 - 39,999",,2873,100037,32508,2290,65240,3057,2891,27,5
2010,Schoharie,"60,000 - 74,999",,855,57487,12705,800,43983,2415,2184,49,8
2011,Monroe,Total,,343326,17049833,3649287,175923,13388438,858905,747784,32,14
2003, Westchester ,"200,000 and over",,33732,23393712,1335714,48356,22009792,1681850,1549447,61,11
2005, Schoharie ,"30,000 - 39,999",,1422,49458,16465,910,32083,1539,1428,49,5
2002, Allegany ,"40,000 - 49,999",,1568,70109,20153,1692,48264,2335,2196,8,6
2011,Rensselaer,"5,000 - 9,999",,6150,45593,38242,81,7269,291,-1058,44,2
2008, Niagara ,"Under 5,000",,16173,3386,29272,0,1647,66,-1134,35,1
2011,Putnam,"60,000 - 74,999",,3183,214315,56350,2293,155672,8776,7713,43,8
2007, Saratoga ,"500,000 and over",,498,630059,19142,547,610370,41810,39404,47,13
2011,Herkimer,"20,000 - 29,999",,3942,97763,40808,2469,54487,2434,527,27,4
2012,Niagara,Total,,99458,4268605,968904,47021,3292034,195061,167723,35,14
2003, New York City - Manhattan ,"20,000 - 29,999",,83995,2091965,857895,54264,1179806,52798,26924,3,4
2011,Cattaraugus,"250,000 - 499,999",,137,44964,3332,146,41486,3061,2628,10,12
2011,Steuben,"60,000 - 74,999",,2836,190067,39873,2415,147779,8184,7240,52,8
2006, Orleans ,"40,000 - 49,999",,1332,59760,16911,1067,41782,2100,1777,40,6
2012,Albany,"Under 5,000",,22514,-31845,35028,2,1870,75,-1576,7,1
2003, NYS Unclassified + ,"50,000 - 59,999",,177,9727,2419,138,7169,390,377,65,7
2006, Ontario ,"50,000 - 59,999",,2846,155864,40165,2386,113313,5910,5200,38,7
2007, Hamilton ,"40,000 - 49,999",,197,8744,2640,121,5983,295,259,26,6
2005, Oswego ,"30,000 - 39,999",,4892,170070,55870,3658,110542,5302,4937,41,5
2000, Columbia ,"75,000 - 99,999",,1580,135157,22855,1635,110667,6413,6097,16,9
2011,Essex,"30,000 - 39,999",,1597,55575,18284,955,36336,1772,1288,21,5
2003, Lewis ,"60,000 - 74,999",,651,43623,9656,792,33175,1779,1727,29,8
2004, Schuyler ,"50,000 - 59,999",,490,26890,6836,467,19586,1001,955,50,7
2006, Rockland ,"60,000 - 74,999",,8436,567263,157687,7011,402562,22626,19160,45,8
2002, Otsego ,"Under 5,000",,4373,8996,8518,0,479,19,-276,42,1
2007, Oswego ,"500,000 and over",,52,55894,2627,39,53228,3646,3310,41,13
2009,Otsego,"250,000 - 499,999",,169,57789,4697,209,52883,3920,3838,42,12
2000, Jefferson ,"75,000 - 99,999",,1658,141562,22625,1980,116957,6743,6656,28,9
2005, New York City - Queens ,"50,000 - 59,999",,53249,2914423,740737,39843,2133843,116556,111855,4,7
2012,"Grand Total, Full-Year Resident","5,000 - 9,999",,792924,5958179,5122196,18010,817973,32733,-147366,67,2
2002, Herkimer ,"10,000 - 19,999",,5145,76908,48741,1995,26172,1065,-429,27,3
2007, Nassau ,"500,000 and over",,13819,26072226,921514,18703,25132082,1721543,1609032,34,13
2002, Livingston ,"100,000 - 199,999",,1029,129443,17836,1300,110308,7118,6972,30,10
2004, Niagara ,"100,000 - 199,999",,4630,573077,83686,5701,483691,31235,30698,35,10
2009,Otsego,"200,000 - 249,999",,125,27870,3037,142,24691,1694,1613,42,11
2004, Onondaga ,"5,000 - 9,999",,19217,141375,118058,320,22997,920,-2604,37,2
2004, Rockland ,"10,000 - 19,999",,15668,229789,151794,4974,73021,2982,-2471,45,3
2008, Saratoga ,"200,000 - 249,999",,1153,255526,28507,1453,225566,15451,14930,47,11
2002, Tompkins ,"50,000 - 59,999",,2056,112906,27039,1635,84232,4411,4271,56,7
2012,Erie,"250,000 - 499,999",,4458,1501027,110811,5379,1384837,93712,89948,20,12
2003, Rockland ,"200,000 and over",,4791,2163462,167276,7036,1989163,151121,129782,45,11
2008, Livingston ,"75,000 - 99,999",,2337,202557,37524,2510,162523,9379,8576,30,9
2005, Warren ,"200,000 and over",,590,314348,17335,550,296463,22287,20367,58,11
1999, Putnam ,"5,000 - 9,999",,3393,24719,19092,13,5614,225,79,43,2
2010,New York City - Kings,"40,000 - 49,999",,81244,3635547,933117,60194,2642237,140372,120613,2,6
2002, Chautauqua ,"100,000 - 199,999",,1320,168373,23164,1582,143628,9305,8923,12,10
2004, Rockland ,"Under 5,000",,17891,33052,30862,1,2188,88,-335,45,1
2012,Greene,"10,000 - 19,999",,3237,47575,30071,1001,16503,673,-489,25,3
2011,Delaware,"250,000 - 499,999",,67,22777,1681,28,21068,1560,1423,18,12
1999, Genesee ,"30,000 - 39,999",,2895,100777,31599,2336,66842,3158,3050,24,5
2010,Cortland,"200,000 - 249,999",,85,18866,1869,89,16909,1160,1095,17,11
2000, Cortland ,Total,,19519,646344,182391,11151,452779,24636,22450,17,12
2007, Chautauqua ,"250,000 - 499,999",,253,86365,6405,276,79684,5458,4856,12,12
2009,Montgomery,"30,000 - 39,999",,2623,90970,29311,1783,59876,2923,2103,33,5
2002, Onondaga ,"75,000 - 99,999",,14614,1257004,223345,18225,1015435,58565,57737,37,9
2002, Rensselaer ,"10,000 - 19,999",,10245,151949,92860,3640,55448,2260,-411,44,3
2003, Suffolk ,"60,000 - 74,999",,49421,3324824,872637,49577,2402610,132121,130302,53,8
2005, Seneca ,"20,000 - 29,999",,1852,45733,19590,1216,24899,1101,646,51,4
2006, Sullivan ,Total,,31736,1347359,356148,17758,973753,56945,45203,54,12
2010,Residence Unknown ++,"500,000 and over",,1520,4677622,107086,1464,4569072,409633,359154,66,13
1999, Columbia ,"20,000 - 29,999",,3749,92775,37747,2117,52911,2343,1948,16,4
2006, Westchester ,"20,000 - 29,999",,40905,1018012,459319,24010,534646,23904,8327,61,4
2009,Oneida,"200,000 - 249,999",,427,94898,9510,495,84893,5820,5647,36,11
2002, Broome ,"60,000 - 74,999",,5064,339035,70394,5536,263105,14320,14042,9,8
2012,Cattaraugus,"40,000 - 49,999",,2547,113954,30188,1832,81934,4133,3370,10,6
2000, Ontario ,"5,000 - 9,999",,4901,36168,29804,51,6313,253,-234,38,2
2010,Warren,"60,000 - 74,999",,1958,131450,29842,1542,100066,5526,5085,58,8
2001, Warren ,"75,000 - 99,999",,1630,139883,24318,1843,113721,6554,6469,58,9
2011,Dutchess,"30,000 - 39,999",,10847,377367,127618,6350,243398,12043,8938,19,5
2002, St. Lawrence ,"75,000 - 99,999",,2106,180032,30808,2684,146539,8434,8302,46,9
2008, Schoharie ,"75,000 - 99,999",,941,80985,15213,872,64900,3745,3468,49,9
2001, Oneida ,Total,,98278,3316510,905466,52834,2358185,131140,120404,36,12
2007, Otsego ,"5,000 - 9,999",,2695,19835,16894,34,2906,116,-347,42,2
2010,Allegany,"10,000 - 19,999",,3181,46983,30653,1236,15093,613,-865,8,3
2006, Otsego ,"75,000 - 99,999",,1551,133260,25128,1647,106485,6138,5596,42,9
2000, Greene ,"50,000 - 59,999",,1182,64787,14578,1121,49088,2560,2538,25,7
2001, Herkimer ,"50,000 - 59,999",,1673,91662,21809,1766,68086,3456,3354,27,7
2007, Saratoga ,"40,000 - 49,999",,7473,335246,92346,4025,238875,12504,11295,47,6
2012,Livingston,"10,000 - 19,999",,4017,59708,36956,1210,21542,879,-641,30,3
2009,Sullivan,"Under 5,000",,5046,-13318,8234,0,403,16,-540,54,1
2010,Orange,"Under 5,000",,21286,-52228,33942,2,2244,90,-1605,39,1
1999, Jefferson ,"30,000 - 39,999",,3860,134593,43572,3445,87576,4069,3900,28,5
2006, New York City - Manhattan ,"60,000 - 74,999",,51612,3464368,635861,15867,2812645,167985,160441,3,8
2012,New York City - Bronx,"Under 5,000",,104069,1056,117345,1,3394,136,-6392,1,1
2005, Ulster ,"75,000 - 99,999",,6328,545922,110073,6598,429251,24830,24141,57,9
2007, Broome ,"75,000 - 99,999",,5807,501462,90714,6000,404748,23477,21666,9,9
2011,"Grand Total, Full-Year Resident",Total,,8793837,570049128,102553390,4716085,477478696,33973013,30179988,67,14
2004, NYS Unclassified + ,"75,000 - 99,999",,78,6769,1645,85,5039,294,285,65,9
2012,Delaware,"40,000 - 49,999",,1457,65213,17850,951,46411,2341,1969,18,6
2000, Rensselaer ,"75,000 - 99,999",,4787,410220,67693,5604,336924,19465,19015,44,9
2012,Niagara,"30,000 - 39,999",,9601,333047,102422,5221,225404,10988,8468,35,5
2001, Ontario ,"100,000 - 199,999",,2376,308072,44958,2929,260185,16926,16648,38,10
2010,Franklin,"40,000 - 49,999",,1407,62972,17283,1010,44679,2282,1933,22,6
2002, Nassau ,"100,000 - 199,999",,76722,10327417,1844002,97393,8386015,550392,539747,34,10
2008, Chenango ,"40,000 - 49,999",,1815,81275,22397,1384,57494,2919,2504,14,6
2003, Chautauqua ,"20,000 - 29,999",,7510,185947,80632,5172,100143,4429,2814,12,4
2007, Franklin ,"5,000 - 9,999",,1986,14707,12457,21,2229,89,-342,22,2
2008, Suffolk ,"250,000 - 499,999",,13198,4406161,448767,17407,3939987,269887,260924,53,12
1999, Yates ,"30,000 - 39,999",,999,34775,11504,952,22319,1031,938,63,5
2007, Allegany ,"5,000 - 9,999",,1915,14155,11918,31,2207,88,-307,8,2
2007, Otsego ,"20,000 - 29,999",,3735,92502,39455,1980,51067,2283,1011,42,4
2002, Jefferson ,"100,000 - 199,999",,1054,133356,17558,1236,114561,7405,7184,28,10
2002, Yates ,"10,000 - 19,999",,1875,28059,18286,787,8986,365,-203,63,3
2012,Schenectady,"60,000 - 74,999",,4700,315152,65979,3262,245910,13511,12627,48,8
2000, Franklin ,"75,000 - 99,999",,757,64292,10211,1023,53058,3051,3012,22,9
2011,Putnam,"10,000 - 19,999",,4618,68160,42349,814,24997,1024,-21,43,3
2006, Delaware ,"60,000 - 74,999",,1199,80434,18288,1116,61030,3319,2965,18,8
2008, New York City - Richmond ,"10,000 - 19,999",,24024,353028,231573,8892,112563,4587,-5748,5,3
2011,New York City - Bronx,Total,,588674,17626369,5316971,373965,12146837,697427,433593,1,14
2009,Warren,"20,000 - 29,999",,4126,102322,43522,2073,56728,2550,1030,58,4
2010,Sullivan,"10,000 - 19,999",,5215,77258,50031,2410,24817,1009,-1544,54,3
2008,"Grand Total, Full-Year Resident","75,000 - 99,999",,625853,54107857,11254373,540933,42312551,2493835,2323346,67,9
2010,New York City - Kings,"75,000 - 99,999",,59406,5110624,904264,45939,4160420,250372,237847,2,9
2011,Jefferson,"5,000 - 9,999",,4398,32902,28002,125,4776,191,-919,28,2
2009,Steuben,"250,000 - 499,999",,225,74954,6182,272,68500,5048,4682,52,12
2010,Chenango,"100,000 - 199,999",,1042,131285,18178,1151,111956,7237,6864,14,10
2007, Delaware ,"75,000 - 99,999",,1154,99144,18842,1124,79178,4572,4185,18,9
2008, Greene ,"20,000 - 29,999",,2567,63787,27540,1399,34849,1563,718,25,4
2009,Wyoming,"60,000 - 74,999",,1412,94779,20582,1322,72874,3982,3449,62,8
2010,Nassau,"200,000 - 249,999",,15468,3430840,493354,20648,2916838,199926,193865,34,11
2009,New York City - Queens,"75,000 - 99,999",,65104,5606011,1090959,53055,4461998,265702,252405,4,9
2012,Chautauqua,"30,000 - 39,999",,5370,186847,60318,3465,123063,5898,3975,12,5
1999, Dutchess ,"200,000 and over",,1974,923234,50843,2084,870307,59616,57454,19,11
2002, Ontario ,"60,000 - 74,999",,3336,223788,49055,3715,171018,9231,9017,38,8
2005, Chenango ,"10,000 - 19,999",,3877,57869,37588,1656,18625,757,-762,14,3
2004, Residence Unknown ++ ,"10,000 - 19,999",,1547,22672,14444,462,7766,316,-25,66,3
2004, Chautauqua ,"50,000 - 59,999",,3106,170267,43223,3103,123941,6317,5806,12,7
2000, Steuben ,"20,000 - 29,999",,5851,145647,59790,4239,81618,3597,2880,52,4
2008, Wayne ,"200,000 - 249,999",,151,32980,3568,180,29232,2002,1873,60,11
2007, New York City - Richmond ,"500,000 and over",,928,1165668,31255,1102,1133311,77631,68914,5,13
2000, Essex ,"75,000 - 99,999",,727,62145,10466,805,50873,2934,2843,21,9
2004, Otsego ,"40,000 - 49,999",,1928,86339,24666,1592,60081,2986,2807,42,6
2001, Greene ,"60,000 - 74,999",,1297,86509,17457,1402,67649,3704,3664,25,8
2000, Monroe ,"10,000 - 19,999",,53938,800637,478465,21390,300782,12261,1703,32,3
2003, Greene ,"50,000 - 59,999",,1237,67827,16429,1170,50228,2628,2567,25,7
2010,Seneca,Total,,14559,553965,145812,7667,407108,23803,18552,51,14
2008, Westchester ,"10,000 - 19,999",,48214,712084,459379,17970,234734,9584,-9053,61,3
2008, Wayne ,Total,,42822,1742343,452109,24173,1281358,73058,60792,60,14
2005, Orleans ,"60,000 - 74,999",,1222,82057,18057,1331,62668,3385,3260,40,8
2001, Greene ,"Under 5,000",,3103,6573,6203,1,369,15,-85,25,1
2000, Cattaraugus ,"60,000 - 74,999",,1930,128821,25216,2227,101378,5483,5282,10,8
2008, Saratoga ,"250,000 - 499,999",,1165,389580,31238,1434,356908,24448,23264,47,12
2005, Rockland ,Total,,126151,8725901,1883374,83284,6758985,444471,375427,45,12
2005, Otsego ,"5,000 - 9,999",,2670,19755,16819,40,2883,115,-330,42,2
2008, Ontario ,"10,000 - 19,999",,7069,104340,65238,2023,37078,1510,-850,38,3
2002, Putnam ,"20,000 - 29,999",,3625,90281,39377,1568,49336,2223,1772,43,4
2009,Jefferson,"40,000 - 49,999",,2949,131983,36928,2190,92864,4698,3991,28,6
2010,New York City - Richmond,"250,000 - 499,999",,2274,745621,61552,2679,681390,49886,45087,5,12
2007, Ontario ,Total,,48665,2384272,536602,25739,1821936,108927,94622,38,14
2010,Jefferson,"50,000 - 59,999",,2407,131876,32173,1935,97767,5152,4569,28,7
2006, Rensselaer ,"Under 5,000",,9962,20359,19194,0,1211,49,-647,44,1
2000, Chautauqua ,"Under 5,000",,9235,21694,20344,0,1350,54,-369,12,1
2004, Livingston ,Total,,26371,993693,264894,14919,713881,40272,36245,30,12
2006, New York City - Queens ,"10,000 - 19,999",,160604,2369462,1623640,75373,670436,27208,-53562,4,3
2008, Madison ,"250,000 - 499,999",,223,73315,7244,252,65820,4509,4178,31,12
2008, Livingston ,"Under 5,000",,4227,-2502,7251,0,445,18,-377,30,1
2004, Chemung ,"60,000 - 74,999",,2435,163242,35320,2516,125406,6805,6442,13,8
2008, Wyoming ,Total,,17699,691494,180553,9273,510249,28810,22805,62,14
2011,Livingston,"20,000 - 29,999",,3123,77629,32415,1676,43538,1957,716,30,4
2000, Ulster ,"60,000 - 74,999",,5370,359877,73058,5584,281234,15442,15232,57,8
2012,Tompkins,"30,000 - 39,999",,4066,140646,42268,1539,96839,4792,3994,56,5
2007, Dutchess ,"200,000 - 249,999",,1701,377294,45478,2107,329708,22585,21222,19,11
2008, Madison ,"200,000 - 249,999",,173,38310,4371,189,33751,2312,2227,31,11
2012,Cattaraugus,"5,000 - 9,999",,3143,23569,20061,87,3422,137,-535,10,2
2009,Chautauqua,"500,000 and over",,72,83130,2274,76,80780,7221,4668,12,13
2010,Residence Unknown ++,"5,000 - 9,999",,894,6887,6167,22,698,28,-196,66,2
2004, NYS Unclassified + ,"5,000 - 9,999",,263,1875,1527,3,345,14,-5,65,2
2003, Fulton ,Total,,22917,776835,222732,12386,541717,30578,26350,23,12
2010,Cattaraugus,"100,000 - 199,999",,1569,197569,28629,1771,167170,10802,10025,10,10
2005, New York City - Manhattan ,"20,000 - 29,999",,82627,2054873,838313,51849,1164621,52213,23690,3,4
2004, Warren ,"75,000 - 99,999",,1866,160275,29786,2061,128428,7402,7241,58,9
1999, Dutchess ,"10,000 - 19,999",,16098,237787,145176,5141,87469,3563,1310,19,3
2010,Seneca,"60,000 - 74,999",,979,65787,14113,898,50776,2796,2517,51,8
1999, Wyoming ,"5,000 - 9,999",,1930,14404,11937,27,2440,98,-113,62,2
2000, New York City - Richmond ,"20,000 - 29,999",,20839,521606,214752,12709,294145,13108,10554,5,4
2000, Chemung ,"10,000 - 19,999",,7050,103680,64289,2942,36448,1482,52,13,3
2000, Fulton ,Total,,23462,750509,216209,12699,521608,28452,25956,23,12
2003, Oswego ,"10,000 - 19,999",,8318,123285,79523,3667,40096,1630,-1142,41,3
2006, Clinton ,"30,000 - 39,999",,3219,111759,35918,1909,73932,3598,2957,15,5
